Поле,Источник,Формула расчета / метод,Экономический смысл,Интерпретация результата
buyer_company_std,ma_deals_AUDIT.xlsx,Очищенная строковая версия поля Покупатель.,Стандартизированное название покупателя для сопоставления и аналитической обработки.,Техническое поле. Прямой экономической интерпретации не имеет; используется для повышения качества сопоставления данных.
buyer_company_norm,ma_deals_AUDIT.xlsx,"Нормализованный текст в нижнем регистре, без лишних символов и лишних пробелов.",Нормализованный идентификатор покупателя для сопоставления между таблицами.,"Техническое поле. Влияет на качество сопоставления, но не интерпретируется как экономический результат."
buyer_ticker_std,ma_deals_AUDIT.xlsx,Очищенная строковая версия поля Тикер покупателя.,Стандартизированный тикер покупателя.,Техническое поле без самостоятельной экономической интерпретации.
buyer_ticker_norm,ma_deals_AUDIT.xlsx,"Тикер в верхнем регистре, из которого удалены пробелы.",Нормализованный ключ тикера для однозначного объединения данных.,Техническое поле для сопоставления; не интерпретируется как объясняющая переменная.
deal_object_std,ma_deals_AUDIT.xlsx,Очищенная строковая версия поля Объект сделки.,Стандартизированное название объекта сделки.,Техническое поле. Прямого экономического эффекта не имеет.
deal_object_norm,ma_deals_AUDIT.xlsx,"Нормализованное название объекта сделки в нижнем регистре, без лишних символов и с единым форматом пробелов.",Нормализованный идентификатор объекта сделки для сопоставления.,Техническое поле. Используется для проверки объединений и предотвращения неоднозначных сопоставлений.
announcement_date_std,ma_deals_AUDIT.xlsx,Преобразованная в формат datetime версия поля Дата объявления сделки.,Дата объявления сделки в машинно-читаемом формате.,Опорная дата для анализа вокруг объявления сделки.
completion_date_std,ma_deals_AUDIT.xlsx,Преобразованная в формат datetime версия поля Дата закрытия сделки.,Дата закрытия сделки в машинно-читаемом формате.,Опорная дата для анализа вокруг закрытия сделки.
actualization_date_std,ma_deals_AUDIT.xlsx,Преобразованная в формат datetime версия поля Дата актуализации.,Дата актуализации в машинно-читаемом формате.,Опорная дата для robustness analysis вокруг обновлений информации.
creation_date_std,ma_deals_AUDIT.xlsx,Преобразованная в формат datetime версия поля Дата создания.,Дата первого появления сделки в машинно-читаемом формате.,Ключевая временная переменная для анализа утечки информации.
announcement_time_std,ma_deals_AUDIT.xlsx,Преобразованная в формат HH:MM версия поля Время объявления сделки when available.,Стандартизированное время объявления сделки.,Используется для проверки данных; в intraday-анализе основная временная привязка идёт по anchor_timestamp_msk из intraday-панели.
completion_time_std,ma_deals_AUDIT.xlsx,Преобразованная в формат HH:MM версия поля Время закрытия сделки when available.,Стандартизированное время закрытия сделки.,"Было бы важно для intraday-анализа закрытия сделки, если бы соответствующая таблица котировок существовала."
deal_value_usd_mn_std,ma_deals_AUDIT.xlsx,"Числовая версия поля Цена сделки, млн USD.",Абсолютный размер сделки.,"В регрессии положительный и значимый коэффициент означает, что более крупные сделки связаны с более высокими CAR/BHAR; отрицательный коэффициент означает более слабую рыночную реакцию на крупные сделки."
stake_pct_std,ma_deals_AUDIT.xlsx,"Числовая версия поля Доля участия, %.",Доля приобретаемого участия в сделке.,"Положительный значимый коэффициент означает, что более высокая приобретаемая доля связана с более сильной рыночной реакцией; отрицательный означает, что рынок хуже воспринимает крупные переходы контроля."
deal_status_clean,ma_deals_AUDIT.xlsx,Очищенная категориальная версия поля Статус сделки.,Классификация статуса сделки для групповых тестов и регрессий.,"Если групповые различия или dummy-коэффициенты значимы, реакция рынка зависит от статуса сделки; если нет, статус не даёт существенного различия."
deal_kind_clean,ma_deals_AUDIT.xlsx,Очищенная категориальная версия поля Вид сделки.,Классификация вида сделки.,"Значимые различия между группами означают, что рынок по-разному оценивает разные формы сделок."
deal_type_clean,ma_deals_AUDIT.xlsx,Очищенная категориальная версия поля Тип сделки.,Классификация типа сделки с точки зрения институциональной природы сделки.,"Если различия значимы, инвесторы по-разному оценивают разные институциональные типы сделок."
integration_direction_clean,ma_deals_AUDIT.xlsx,Очищенная категориальная версия поля Направление интеграции.,Направление стратегической интеграции.,"Если различия значимы, разные направления интеграции приводят к разной рыночной реакции."
CAR_ANN_INTRADAY_15M,table_1_intraday.xlsx,"CAR = сумма AR_tau over [-15;+15] minutes вокруг anchor_timestamp_msk, где AR_tau = r_tau - средняя 15-минутная доходность на предсобытийном торговом дне.",Мгновенная сверхнормальная реакция рынка вокруг объявления сделки.,"Положительные значения означают благоприятную немедленную переоценку новости инвесторами; отрицательные значения означают негативную реакцию; значения, близкие к нулю или статистически незначимые, указывают на отсутствие заметного немедленного эффекта."
CAR_ANN_INTRADAY_30M,table_1_intraday.xlsx,CAR = сумма AR_tau over [-30;+30] minutes.,Краткосрочная intraday-реакция вокруг объявления.,"Интерпретация аналогична, но на более широком окне; статистическая значимость означает, что эффект длится дольше, чем первые минуты."
CAR_ANN_INTRADAY_1H,table_1_intraday.xlsx,CAR = сумма AR_tau over [0;+60] minutes.,Сверхнормальная корректировка цены в первый час после релиза.,Положительные и значимые значения поддерживают гипотезу о быстром включении новости в цену; незначимые значения ослабляют гипотезу о сильной реакции в первый час.
CAR_ANN_INTRADAY_3H,table_1_intraday.xlsx,CAR = сумма AR_tau over [0;+180] minutes.,Сверхнормальная реакция в первые три часа.,"Показывает, сохраняется ли реакция, усиливается ли она или разворачивается после первого часа."
CAR_ANN_INTRADAY_FULL,table_1_intraday.xlsx,Сумма всех доступных intraday abnormal returns в загруженной intraday-панели (-1;+1) торговых дня вокруг события.,Совокупный intraday-эффект вокруг события.,"Положительные значения означают, что суммарная intraday-переоценка была благоприятной; отрицательные — неблагоприятной."
CAR_ANN_INTRADAY_TO_CLOSE,table_1_intraday.xlsx,CAR от anchor_timestamp_msk до последней intraday-котировки торгового дня события.,Эффект в день события до закрытия рынка.,"Если показатель положителен и значим, рынок сохраняет благоприятную оценку сделки к концу торговой сессии."
CAR_ANN_NEXT_OPEN_1H,table_1_intraday.xlsx,CAR от открытия следующего торгового дня до открытия плюс 60 минут.,Отложенная реакция сразу после открытия следующего дня.,"Особенно полезно для релизов около закрытия рынка или после него; значимость означает, что часть новости была включена в цену с лагом."
CAR_ANN_NEXT_DAY,table_1_intraday.xlsx,CAR от открытия следующего торгового дня до его закрытия.,Полный abnormal effect на следующий торговый день после объявления.,Положительные значения означают отложенное благоприятное усвоение информации; отрицательные — отложенную негативную переоценку.
CAR_CLOSE_INTRADAY_15M,отсутствует среди загруженных данных,"Не рассчитывается, поскольку среди загруженных файлов отсутствует отдельная intraday-таблица котировок для completion event; значения остаются NaN.",Заглушка для intraday-эффекта вокруг закрытия сделки.,"Сейчас показатель не интерпретируется, поскольку соответствующие входные данные отсутствуют и поле остаётся пустым."
CAR_CLOSE_INTRADAY_30M,отсутствует среди загруженных данных,"Не рассчитывается, поскольку среди загруженных файлов отсутствует отдельная intraday-таблица котировок для completion event; значения остаются NaN.",Заглушка для intraday-эффекта вокруг закрытия сделки.,"Сейчас показатель не интерпретируется, поскольку соответствующие входные данные отсутствуют и поле остаётся пустым."
